phi0_omega_k,phi1_u_k,y_omega_k1
10.68141556,-0.67000008,10.68141556
10.68141556,-0.69999999,10.68141556
10.68141556,-0.69999999,11.93805218
11.93805218,-0.69999999,11.30973339
11.30973339,-0.69999999,11.30973339
11.30973339,-0.69999999,11.30973339
11.30973339,-0.69999999,11.30973339
11.30973339,-0.69999999,11.93805218
11.93805218,-0.69999999,11.30973339
11.30973339,-0.69999999,11.30973339
11.30973339,-0.69999999,11.93805218
11.93805218,-0.69999999,11.30973339
11.30973339,-0.69999999,11.30973339
11.30973339,-0.69999999,11.93805218
11.93805218,-0.69999999,11.93805218
11.93805218,-0.69999999,11.30973339
11.30973339,-0.69999999,11.30973339
11.30973339,-0.69999999,11.93805218
11.93805218,-0.69999999,11.30973339
11.30973339,-0.69999999,11.93805218
11.93805218,-0.69999999,11.30973339
11.30973339,-0.69999999,11.93805218
11.93805218,-0.69999999,11.30973339
11.30973339,-0.69999999,11.30973339
11.30973339,-0.69999999,11.93805218
11.93805218,-0.69999999,11.93805218
11.93805218,-0.69999999,11.30973339
11.30973339,-0.69999999,11.93805218
11.93805218,-0.69999999,11.93805218
11.93805218,-0.69999999,11.30973339
11.30973339,-0.69999999,11.93805218
11.93805218,-0.69999999,11.30973339
11.30973339,-0.69999999,11.93805218
11.93805218,-0.69999999,11.93805218
11.93805218,-0.69999999,11.93805218
11.93805218,-0.69999999,11.30973339
11.30973339,-0.69999999,11.93805218
11.93805218,-0.69999999,11.30973339
11.30973339,-0.69999999,11.93805218
11.93805218,-0.69999999,11.93805218
11.93805218,-0.69999999,11.93805218
11.93805218,-0.69999999,11.30973339
11.30973339,-0.69999999,11.93805218
11.93805218,-0.69999999,11.93805218
11.93805218,-0.69999999,11.30973339
11.30973339,-0.69999999,11.93805218
11.93805218,-0.69999999,11.93805218
11.93805218,-0.69999999,11.93805218
11.93805218,-0.69999999,11.93805218
11.93805218,-0.74000001,11.93805218
11.93805218,-0.78000003,12.56637096
12.56637096,-0.82000005,12.56637096
12.56637096,-0.85000002,13.19468880
13.19468880,-0.85000002,10.05309677
10.05309677,-0.85000002,5.65486670
5.65486670,-0.85000002,3.14159274
3.14159274,-0.85000002,5.02654839
5.02654839,-0.85000002,9.42477798
9.42477798,-0.85000002,11.93805218
11.93805218,-0.85000002,13.19468880
13.19468880,-0.85000002,13.19468880
13.19468880,-0.85000002,13.19468880
13.19468880,-0.85000002,12.56637096
12.56637096,-0.85000002,8.79645920
8.79645920,-0.85000002,4.39822960
4.39822960,-0.85000002,2.51327419
2.51327419,-0.85000002,7.53982306
7.53982306,-0.85000002,10.68141556
10.68141556,-0.85000002,12.56637096
12.56637096,-0.85000002,13.19468880
13.19468880,-0.85000002,13.82300854
13.82300854,-0.85000002,12.56637096
12.56637096,-0.85000002,8.79645920
8.79645920,-0.85000002,4.39822960
4.39822960,-0.85000002,2.51327419
2.51327419,-0.85000002,7.53982306
7.53982306,-0.85000002,11.30973339
11.30973339,-0.85000002,12.56637096
12.56637096,-0.85000002,13.19468880
13.19468880,-0.85000002,13.19468880
13.19468880,-0.85000002,13.82300854
13.82300854,-0.85000002,13.82300854
